source_sheet,excel_row,reason,raw_tree_num,species,common_name,funder,date_planted,address,raw_lat,raw_long,status_intended
Planted Log,56,missing/invalid lat/long,273.0,Quercus wislizeni,Interior Live Oak,CAL Fire,2023-04-19 00:00:00,"State Highway 1 @, Dairy Creek Rd",,,Active
Planted Log,57,missing/invalid lat/long,274.0,Quercus wislizeni,Interior Live Oak,CAL Fire,2023-04-19 00:00:00,"State Highway 1 @, Dairy Creek Rd",,,Active
Planted Log,189,missing species; missing common name,416.0,,,TBID,2024-11-16 00:00:00,"536 Marsh St, SLO",35.277192,-120.665907,Active
Planted Log,190,missing species; missing common name,417.0,,,TBID,2024-11-16 00:00:00,"536 Marsh St, SLO",35.277407,-120.66603,Active
Planted Log,208,missing species; missing common name,433.0,,,TBID,2025-02-08 00:00:00,"900 Southwood Dr, SLO",35.268318,-120.649124,Active
Planted Log,215,missing/invalid lat/long,440.0,Casuarina glauca,Swamp she-oak,TBID,2025-02-22 00:00:00,"11175 Los Osos Valley Rd, SLO",,,Active
Planted Log,216,missing/invalid lat/long,441.0,Eucalyptus spathulata,Swamp mallee,TBID,2025-02-22 00:00:00,"11176 Los Osos Valley Rd, SLO",,,Active
Planted Log,217,missing/invalid lat/long,442.0,Casuarina glauca,Swamp she-oak,TBID,2025-02-22 00:00:00,"11177 Los Osos Valley Rd, SLO",,,Active
Planted Log,218,missing/invalid lat/long,443.0,Eucalyptus spathulata,Swamp mallee,TBID,2025-02-22 00:00:00,"11178 Los Osos Valley Rd, SLO",,,Active
Planted Log,219,missing/invalid lat/long,444.0,Tristaniopsis laurina,Water gum,TBID,2025-02-22 00:00:00,"11179 Los Osos Valley Rd, SLO",,,Active
Planted Log,220,missing/invalid lat/long,445.0,Casuarina glauca,Swamp she-oak,TBID,2025-02-22 00:00:00,"11180 Los Osos Valley Rd, SLO",,,Active
Planted Log,221,missing/invalid lat/long,446.0,Eucalyptus spathulata,Swamp mallee,TBID,2025-02-22 00:00:00,"11181 Los Osos Valley Rd, SLO",,,Active
Planted Log,222,missing/invalid lat/long,447.0,Ficus microcarpa 'green gem',Green Gem Indica Fig Laurel,TBID,2025-02-22 00:00:00,"11182 Los Osos Valley Rd, SLO",,,Active
Planted Log,223,missing/invalid lat/long,448.0,Eucalyptus robusta,Swamp mahogany,TBID,2025-02-22 00:00:00,"11183 Los Osos Valley Rd, SLO",,,Active
Planted Log,224,missing/invalid lat/long,449.0,Eucalyptus viminalis,Manna gum,TBID,2025-02-22 00:00:00,"11184 Los Osos Valley Rd, SLO",,,Active
Planted Log,225,missing/invalid lat/long,450.0,Tristaniopsis laurina,Water gum,TBID,2025-02-22 00:00:00,"11185 Los Osos Valley Rd, SLO",,,Active
Planted Log,226,missing/invalid lat/long,451.0,Quercus virginiana,Southern live oak,TBID,2025-02-22 00:00:00,"11186 Los Osos Valley Rd, SLO",,,Active
Planted Log,227,missing/invalid lat/long,452.0,Eucalyptus robusta,Swamp mahogany,TBID,2025-02-22 00:00:00,"11187 Los Osos Valley Rd, SLO",,,Active
Planted Log,228,missing/invalid lat/long,453.0,Podocarpus gracilior,African fern pine,TBID,2025-02-22 00:00:00,"11188 Los Osos Valley Rd, SLO",,,Active
Planted Log,229,missing/invalid lat/long,454.0,Eucalyptus cneorifolia,Kangaroo Island narrow-leaf mallee,TBID,2025-04-12 00:00:00,"11189 Los Osos Valley Rd, SLO",,,Active
Planted Log,230,missing/invalid lat/long,455.0,Eucalyptus cneorifolia,Kangaroo Island narrow-leaf mallee,TBID,2025-04-12 00:00:00,"11190 Los Osos Valley Rd, SLO",,,Active
Planted Log,231,missing/invalid lat/long,456.0,Eucalyptus ficifolia,Red-Flowering Gum,TBID,2025-04-12 00:00:00,"11191 Los Osos Valley Rd, SLO",,,Active
